Codigo,Descripcion,Estado de stock,Stock Minimo,Cantidad Stock,Última etapa comprada,Etapa en ejecución,Cantidad presupuestada etapa,Cantidad presupuestada por lote,Cantidad comprada,Cantidad recibida,Cantidad entregada,Cantidad entregada semanalmente
1264585.0,MONOMANDO LAVAPLATO LINEA ORNE LLA STRETTO 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"17,0",014,013,"11,0","1,0","14,0","14,0","11,0","1,0"
1184121.0,MONOMANDO LAVATORIO ORNELLA MO SAICO 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,10,"26,0",014,013,"11,0","1,0","24,0","24,0","19,0","1,0"
1184139.0,MONOMANDO TINA-DUCHA ORNELLA M OSAICO 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,10,"29,0",014,013,"11,0","1,0","22,0","22,0","19,0","1,0"
1182483.0,"MUEBLE LAVAPLATO 0,8 MTS 1 UN",BAJO NIVEL CRITICO Y PARA MENOS DE DOS SEMANAS,5,"0,0",014,014,"17,0","1,0","17,0","17,0","10,0","1,0"
1274791.0,NIVELADOR AOCEM MIX-A (20 KG) 1 SACO,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"15,215","94,8",014,014,"54,6","3,2","45,3","45,3","12,2","1,0"
1180074.0,OLEO OPACO BLANCO 1 GAL,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"8,5","57,0",012,012,"28,0","1,6","28,0","28,0","11,6","1,0"
1183945.0,OLEO OPACO MARFIL 1 GAL,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"2,5","14,0",011,011,"12,9","0,8","12,9","12,9","9,2","1,0"
1183136.0,PAPEL FIELTRO 10/40 1 ROLLO,BAJO NIVEL CRITICO Y PARA MÁS DE DOS SEMANAS,20,"5,7",016,016,"43,3","3,9","43,3","43,3","40,9","1,0"
1191662.0,PEDESTAL UNIVERSAL 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,10,"236,0",015,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,"1,0"
1201470.0,PEGAMENTO ALFOMBRA PATEL,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"4,15","24,6",015,014,"10,9","0,6","10,9","10,9","0,2","1,0"
1178821.0,"PINO 2"" X 10"" X 3,20 MT CEPIL LADO",BAJO NIVEL CRITICO Y PARA MÁS DE DOS SEMANAS,20,"3,0",014,014,"48,0","2,8","48,0","48,0","36,0","1,0"
1193713.0,"PINO 2"" X 2"" X 3,20 MT IMPREGN ADO",BAJO NIVEL CRITICO Y PARA MENOS DE DOS SEMANAS,"447,5","0,0",016,016,"941,0","85,5","940,5","940,5","829,0","1,0"
1188105.0,PLANCHA FIBROCEMENTO 4 MM 1 P LANCHA,BAJO NIVEL CRITICO Y PARA MÁS DE DOS SEMANAS,80,"75,0",016,016,"60,0","5,5","53,0","53,0","72,0","1,0"
1192999.0,"PLANCHA OSB STD 9,5 MM X 2,44 X 1,22 MTS 1 PLANCHA",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"57,0",015,015,"22,0","1,5","22,0","22,0","9,0","1,0"
1179698.0,"PLANCHA YESO-CARTON ST 10 MM 1 ,20 X 2,40 1 PLANCHA",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,300,"468,0",016,015,"856,0","57,1","856,0","856,0","705,0","1,0"
1278928.0,POLIESTIRENO EXP. 30 MM (20KG/ M3) 1 PLANCHA,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,75,"474,0",016,016,"165,0","15,0","165,0","165,0","210,0","1,0"
1278944.0,POLIESTIRENO EXP. 70 MM (20KG/ M3) 1 PLANCHA,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,60,"80,0",016,015,"156,0","10,4","156,0","156,0","120,0","1,0"
1278952.0,POLIESTIRENO EXP. 80 MM (20KG/ M3) 1 PLANCHA,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,665,"1675,0",016,015,"2025,0","135,0","2026,0","2026,0","2025,0","1,0"
1192112.0,"PUERTA HDF PRESTIGE 0,65 X 2 M T INTERIOR 1 UN",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"11,0",016,015,"13,0","0,9","13,0","13,0","10,0","1,0"
1192121.0,"PUERTA HDF PRESTIGE 0,70 X 2 M T INTERIOR 1 UN",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,20,"76,0",016,015,"32,0","2,1","58,0","58,0","20,0","1,0"
1188471.0,"PUERTA TERCIADO 0,75 X 2 MTS. EXT. C/C 1 UN",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"17,0",015,014,"17,0","1,0","17,0","17,0","17,0","1,0"
1260955.0,"PUERTA PROTEGIDA HDF 0,8X2MTS PRESTIGE",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"26,0",016,014,"17,0","1,0","17,0","17,0","18,0","1,0"
1187241.0,REGULADOR P/GAS 45KG RI 11100 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"17,0",012,012,"18,0","1,0","18,0","18,0","14,0","1,0"
1196455.0,SILICONA SANISIL BLCO 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,7,"32,0",013,013,"13,3","1,2","13,0","13,0","7,6","1,0"
1177650.0,SILICONA SIKACRYL AS BLANCO P,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,35,"141,0",012,012,"114,0","6,3","396,0","396,0","247,0","1,0"
1187671.0,"TAPACAN SMARTSIDE TRIM 5 1/2"" LP 1 UN",BAJO NIVEL CRITICO Y PARA MÁS DE DOS SEMANAS,"27,5","26,0",016,016,"44,0","4,0","54,5","54,5","44,0","1,0"
1187751.0,"TAPACAN SMARTSIDE TRIM 7 1/4"" LP 1 UN",BAJO NIVEL CRITICO Y PARA MÁS DE DOS SEMANAS,"22,5","3,5",016,016,"49,5","4,5","49,0","49,0","49,5","1,0"
1188463.0,TERCIADO ESTRUCTURAL 12 MM 1 PLANCHA,BAJO NIVEL CRITICO Y PARA MENOS DE DOS SEMANAS,5,"1,0",015,014,"12,0","0,7","12,0","12,0","9,0","1,0"
1177490.0,"THOMSIT MONTAJE PL 500 3,8 KG 1 GAL",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,15,"25,3",014,014,"26,8","1,6","44,3","44,3","28,0","1,0"
1180331.0,"TINA 1,20 X 0,70 MTS BLANCA ES MALTADA 1 UN",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"15,0",015,014,"12,0","0,7","12,0","12,0","11,9","1,0"
1256817.0,"TINA BAÑO 1,3X0,7 BLANCA 1UN",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"16,0",015,014,"17,0","1,0","17,0","17,0","18,0","1,0"
1272315.0,TUBERIA PEX 20 MM,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,35,"247,0",#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,"1,0"
1198151.0,VENTANA TECHO 55 X 78 CM 1 UN,BAJO NIVEL CRITICO Y PARA MENOS DE DOS SEMANAS,5,"2,0",016,016,"8,0","0,7","8,0","8,0","8,0","1,0"
1275065.0,"VENTILACION PASIVA 4"" 1 UN",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,25,"78,0",014,013,"49,0","4,5","55,0","55,0","47,0","1,0"
1290599.0,WC LUGANO DESC. MURO 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"90,0",015,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,"1,0"
1290601.0,WC LUGANO DESC. PISO 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"119,0",015,012,"18,0","1,0","18,0","18,0","8,0","1,0"
1268615.0,YESO EXPRESS 25 KG,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"56,25","110,0",015,014,"177,2","10,4","177,2","177,2","250,8","1,0"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
